CDM project reference number,Unique project identifier (traceable with Google),Registration project title,Type of CDM project: PA/PoA,Project classification,Sectoral scope number(s),Methodologies used at registration,Project type (UNEP DTU),Project subtype (UNEP DTU),DOE,Start of validation,PA:Initial registration request/PoA:First CPA request,PA:Lastest registration request/PoA:Lastest CPA request,"Date of EB decision (see EB59 Annex 12, §25)",Registered or rejected,Simplified project status,Website project status,Type of crediting period,Start of first crediting period,End of first crediting period, Amount Of Reductions (PDD ex-ante) per year in CP1 (PoA based on the sum of curr ,Status of the second CP request,Second crediting period: renew date,Second crediting period: renewed date, Amount Of Reductions (PDD ex-ante) per year in CP2 ,Start of Second crediting period,End of second crediting period,Status of the third CP request,Third crediting period: renew date,Third crediting period: renewed date, Amount Of Reductions (PDD ex-ante) per year in CP3 ,Start of third crediting period,End of third crediting period,List of host countries (ISO 2),UNFCCC region,LDC country,Country Region,SID country,Country subregion,First issuance,Lastest issuance, Total CERs issued , Count of issuances of CER , Count of issuances of CER for KP1 , Total CERs issued for KP1 , Count of issuances of CER for KP2 , Total CERs issued for KP2 , Installed capacity (MW elec/thermal) ,Kind of additional revenue, Total capital investment (USD) , Total O&M costs (USD/year) , Additional revenue (USD) , Estimated IRR benchmark , Estimated IRR excluding CERs , Estimated IRR including CERs ,Issuance (Para 218)/ Registration (Para 219),Last information provided on para. 218 and 219 of the PCP,Date of last information provided on Para. 218 and 219 of the PCP,Number of CPAs per host party (PoA),Amount of reduction per host party (PoA),Crediting type of the CPAs,Chronological number of registered CDM activity by country,Last communication with the Secretariat,Projects which cannot be renewed,Reporting date
1300,PC3HNBN9SYGQSSVSA3HGNSXD0U01Z6,155 MW Gas based combined cycle power project at Hazira,PA,LARGE,1,AM0029 1.0,Fossil fuel switch,New natural gas plant,Bureau Veritas Certification Holding SAS (BVCH),01-05-07,22-08-07,22-08-07,15-04-08,26-02-08,End of crediting period,Registered,Fixed,26-02-08,25-02-18,"190,876",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,21-01-11,30-03-23,"542,026",4,4,"445,526",1,"96,500",155,Sales electricity,"62,865,691",,"65,254,892",,,,,,,,,,IN(319),2023m3,No,10-Oct-24
1302,HG44C70CA9UZSYG4VJQ08I7USR48C1,Biomass Gasification based Power Generation by Arashi Hi-Tech Bio-Power Private Limited,PA,SMALL,1,AMS-I.D. 10.0,Biomass Energy,Gasification of biomass,SGS United Kingdom Limited (SGS),29-03-07,23-08-07,23-08-07,03-12-07,03-12-07,End of crediting period,Registered,Renewable,03-12-07,02-12-14,"6,248",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,21-01-11,21-01-11,"1,070",1,1,"1,070",, -   ,1,None,,,,,,,,,,,,,IN(299),2011m1,Yes,10-Oct-24
1306,YTXPMV63A65MI9K5Q9KU5S7SVR0ZMK,"4 MW Bundled Grid Connected Wind Power Project in Tamilnadu, India",PA,SMALL,1,AMS-I.D. 10.0,Wind,Wind,RWTÜV GmbH,18-10-06,27-08-07,27-08-07,15-11-07,15-11-07,End of crediting period,Registered,Fixed,15-11-07,14-11-17,"8,140",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,20-04-11,16-04-12,"19,180",2,2,"19,180",, -   ,4,None,"4,540,853",,,,8.26,9.61,,,,,,,IN(292),2012m4,No,10-Oct-24
1308,I8XM33DQWOQLWB3NZYPL5ICT1IQSX1,"3 MW Wind Power Project at Chikkasiddavanahalli village, Chitradurga district, Karnataka",PA,SMALL,1,AMS-I.D. 10.0,Wind,Wind,TÜV Rheinland (China) Ltd. (TÜV Rheinland),11-03-06,27-08-07,31-08-07,19-11-07,19-11-07,End of crediting period,Registered,Fixed,19-11-07,18-11-17,"4,823",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,08-01-16,08-01-16,"11,619",1,1,"11,619",, -   ,3,Sales electricity,"3,278,654","56,713","659,555",,13.88,13.88,Issuance Process,Corrective actions without response,10-06-15,,,,IN(293),2016m1,No,10-Oct-24
1324,7F4OPCNH6LXJGXSEOB86RFO74GWFZO,Power generation from waste heat of submerged arc furnaces,PA,LARGE,1,ACM0004 2.0,EE own generation,Iron & steel heat,TÜV SÜD South Asia Private Limited (TÜV SÜD),25-01-07,03-09-07,03-09-07,22-04-08,20-03-08,End of crediting period,Registered,Fixed,20-03-08,19-03-18,"75,187",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,13,None,,,,,,,,,,,,,IN(323),2008m3,No,10-Oct-24
1326,0IY7QRB6I9WV95QRQTMMDYI6DW0TQ3,"Jorethang Loop Hydroelectric Project, India",PA,LARGE,1,ACM0002 6.0,Hydro,New dam,Det Norske Veritas- CUK,30-08-06,05-09-07,05-09-07,11-04-08,28-02-08,Registered with issuances,Registered,Renewable,01-01-12,31-12-18,"465,961",Renewed,27-03-20,27-03-20,"390,589.00",01-01-19,31-12-25,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,18-05-17,18-05-17,"337,258",1,1,"72,397",1,"264,861",96,Sales electricity,"137,829,670","3,310,137","23,032,554",12.75,9.62,12.92,,,,,,,IN(320),2024m10,No,10-Oct-24
1339,KDXA5KEPJJVNO7990UAIU3OZJZZGHP,Greenfield power project at Dwarikesh Dham,PA,LARGE,1,ACM0006 5.0,Biomass Energy,Bagasse power,TÜV SÜD South Asia Private Limited (TÜV SÜD),05-06-07,10-09-07,10-09-07,04-02-08,01-02-08,End of crediting period,Registered,Fixed,01-02-08,31-01-18,"61,007",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,29-01-09,02-01-13,"97,209",5,5,"97,209",, -   ,36,None,"8,654,995",,,,,,,,,,,,IN(311),2013m1,No,10-Oct-24
1341,O6IVT0N2N40RFRPWLSW4IQGMN7W6Z5,"7.2 MW Wind Project at Chitradurga, Karnataka",PA,SMALL,1,AMS-I.D. 10.0,Wind,Wind,RWTÜV GmbH,01-12-06,11-09-07,11-09-07,04-02-08,01-02-08,End of crediting period,Registered,Fixed,01-02-08,31-01-18,"14,334",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,12-01-11,04-10-13,"62,478",5,5,"62,478",, -   ,7.2,Sales electricity,"8,587,194","375,140","1,302,887",9.67,8.6,10.6,,,,,,,IN(312),2013m10,No,10-Oct-24
1345,47ILWX4YI0Y1CQCBYB8INXDZR9XQU3,"24.75 MW Ranganathaswamy Mini Hydel Project, Karnataka, India",PA,LARGE,1,ACM0002 6.0,Hydro,Run of river,RWTÜV GmbH,04-01-07,18-09-07,12-12-07,27-06-08,18-06-08,End of crediting period,Registered,Fixed,18-06-09,17-06-19,"62,264",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,24.75,Sales electricity,"21,918,438","680,069","3,605,525",15.46,13.9,16.77,Issuance Process,The verification contract has been terminated,13-10-14,,,,IN(352),2021m12,No,10-Oct-24
1350,L1WFWJ106RPB2WGAGBV0LED3ZOJBP5,"Shri Chamundi Captive Energy Private Limited”, 16MW biomass fired cogeneration plant for supply of power and steam to an industrial facility in Karnataka.",PA,LARGE,1,ACM0006 4.0,Biomass Energy,Agricultural residues: other kinds,Bureau Veritas Certification Holding SAS (BVCH),01-12-06,19-09-07,16-05-08,17-04-09,02-01-09,End of crediting period,Registered,Renewable,02-01-09,01-01-16,"144,979",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,16,None,,,,,,,,,,,,,IN(385),2009m1,Yes,10-Oct-24
1351,VD46D5DZB8DYZZD5RDXA9RVFWBR3RQ,Installation of Low Green House Gases (GHG) emitting rolling stock cars in metro system,PA,SMALL,7,AMS-III.C. 10.0,Transport,Rail: regenerative braking,RWTÜV GmbH,02-03-07,19-09-07,28-11-07,31-12-07,29-12-07,End of crediting period,Registered,Fixed,29-12-07,28-12-17,"41,160",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,13-03-09,14-05-20,"451,609",7,6,"225,093",1,"226,516",,None,,,,,,,,,,,,,IN(302),2021m2,No,10-Oct-24
1352,4XNACF4LWVZLPLGHS7H3TTGPSRY7PX,"Grid-connected Combined Cycle Power Plant of capacity 219.067 MW using Natural Gas/ R-LNG as fuels at Gujarat, India.",PA,LARGE,1,AM0029 1.0,Fossil fuel switch,New natural gas plant using LNG,Bureau Veritas Certification Holding SAS (BVCH),07-12-06,20-09-07,07-12-07,04-02-08,04-02-08,End of crediting period,Registered,Fixed,10-02-08,09-02-18,"214,495",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,22-12-08,19-11-14,"1,251,073",6,6,"1,251,073",, -   ,219.1,Sales electricity,"141,159,696",,"89,486,560",,,,,,,,,,IN(315),2014m11,No,10-Oct-24
1354,ZL7QUW1XSAEXGO5DURHV4QG4D2HOEU,"Flare gas recovery project at Hazira Gas Processing Complex (HGPC), Hazira plant, Oil and Natural Gas Corporation (ONGC) Limited",PA,LARGE,10; 5,AM0037 1.1,Fugitive,Oil and gas processing flaring,Det Norske Veritas- CUK,03-03-07,21-09-07,14-11-07,19-05-08,16-05-08,End of crediting period,Registered,Fixed,16-05-08,15-05-18,"8,793",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,Issuance Process,Corrective actions without response,13-04-23,,,,IN(341),2023m4,No,10-Oct-24
1363,SDAG60T7XLKPNF70ON877Q8SPYIJB2,"5 MW renewable energy project for a grid system” at Rohru Tehsil, Shimla District in Himachal, India",PA,SMALL,1,AMS-I.D. 10.0,Hydro,Run of river,Det Norske Veritas- CUK,21-09-06,28-09-07,28-09-07,30-05-08,15-04-08,End of crediting period,Registered,Fixed,12-06-09,11-06-19,"14,380",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,25-01-13,25-01-13,"24,405",1,1,"24,405",, -   ,5,Sales electricity,"5,898,491","137,174","1,036,237",15.92,12.25,14.42,,,,,,,IN(334),2022m3,No,10-Oct-24
1379,W9K60GTIW1LXY9VT4WV9VTEARQJ2PR,6 MW Rice Husk based cogeneration plant at Bhageshwari Papers Private Limited,PA,SMALL,1,AMS-I.C. 9.0,Biomass Energy,Agricultural residues: rice husk,SGS United Kingdom Limited (SGS),06-04-07,10-10-07,06-12-07,07-01-08,06-01-08,End of crediting period,Registered,Renewable,06-01-08,05-01-15,"28,983",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,14-09-09,29-10-12,"107,407",3,3,"107,407",, -   ,6,None,"2,700,000",,,,,,Issuance Process,The verification contract has been terminated,31-05-16,,,,IN(303),2016m5,Yes,10-Oct-24
1395,0EJNUYFAYL1K6KVPJI3QN1Z2MQPSDL,VKG Steels & Energy Private Limited – 8 MW WHR Based Captive Power Project.,PA,LARGE,1,ACM0004 2.0,EE own generation,Iron & steel heat,RWTÜV GmbH,28-09-06,12-10-07,20-12-07,25-02-08,24-02-08,End of crediting period,Registered,Fixed,24-02-08,23-02-18,"36,698",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,30-03-11,02-11-12,"32,389",2,2,"32,389",, -   ,8,None,,,,,,,,,,,,,IN(317),2012m11,No,10-Oct-24
1403,RL9DEXKEZ2H5KEYZKLGZTIOVNF69SU,Steam Optimization in Cooking Process in Paper Plant,PA,LARGE,3,AM0018 1.1,EE Industry,Paper,Det Norske Veritas- CUK,17-03-07,24-10-07,24-10-07,12-04-08,01-04-08,End of crediting period,Registered,Fixed,01-04-08,31-03-18,"34,148",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,27-07-15,27-07-15,"22,766",1,1,"22,766",, -   ,,None,,,,,,,Issuance Process,Corrective actions without response,26-03-15,,,,IN(329),2015m7,No,10-Oct-24
1421,079ENZ7D9SFOD29K9R2ET0772J15U5,8.5 MW wind power project in Chitradurga district in Karnataka by Jindal Aluminium Ltd.,PA,SMALL,1,AMS-I.D. 10.0,Wind,Wind,Bureau Veritas Certification Holding SAS (BVCH),19-04-07,14-01-08,14-01-08,16-09-08,16-07-08,End of crediting period,Registered,Fixed,16-07-08,15-07-18,"14,681",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,29-04-11,14-03-14,"50,577",2,2,"50,577",, -   ,7.9,Sales electricity,"7,700,197","149,184","1,269,616",14,12.3,14.75,,,,,,,IN(357),2021m12,No,10-Oct-24
1454,C9ME45GB4F0822MRXPTE75B0POOBLM,"Energy efficiency improvement in power generation at Sajjan India Limited, Ankhleshwar, Gujarat",PA,SMALL,4,AMS-II.D. 8.0,EE Industry,Chemicals,SGS United Kingdom Limited (SGS),22-02-07,29-11-07,12-02-08,17-03-08,16-03-08,End of crediting period,Registered,Fixed,16-03-08,15-03-18,"24,947",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,"571,528",,,,,,Issuance Process,The verification contract has been terminated,06-10-15,,,,IN(322),2015m10,No,10-Oct-24
1456,ZZK6XB1XUWV596IZZ4H06G6E9KBC1G,"5 MW Wind Power Project of Alembic Ltd at Bhavnagar, Gujarat, India",PA,SMALL,1,AMS-I.D. 11.0,Wind,Wind,RWTÜV GmbH,03-07-07,30-11-07,30-11-07,07-02-08,07-02-08,End of crediting period,Registered,Fixed,07-02-08,06-02-18,"8,969",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,17-12-10,01-04-21,"80,225",4,3,"40,710",2,"39,515",5,Savings other,"4,575,375","127,549","982,195",15.92,14.8,16.39,,,,,,,IN(316),2021m4,No,10-Oct-24
1461,W3KQI4TJCFAYXOAIP8XINLILRY6ML1,"5 MW Biomass based Cogeneration project” at Solan, Himachal Pradesh, by M/s Deepak Spinners Limited",PA,SMALL,1,AMS-I.C. 10.0,Biomass Energy,Agricultural residues: rice husk,TÜV SÜD South Asia Private Limited (TÜV SÜD),12-06-07,03-12-07,26-02-08,18-04-08,10-04-08,End of crediting period,Registered,Fixed,10-04-08,09-04-18,"26,572",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,5,None,,,,,,,,,,,,,IN(332),2008m4,No,10-Oct-24
1462,MVNC1KL355USV4GGJ189SWLPN1SI4M,"ISL Waste Heat Recovery Project, India",PA,LARGE,1,ACM0004 2.0,EE own generation,Iron & steel heat,TÜV SÜD South Asia Private Limited (TÜV SÜD),14-02-07,04-12-07,04-02-08,21-07-08,27-06-08,End of crediting period,Registered,Fixed,27-06-08,26-06-18,"67,185",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,18-06-09,23-11-11,"59,092",3,3,"59,092",, -   ,16,None,"12,875,043",,,10.25,9.55,13.99,,,,,,,IN(355),2011m11,No,10-Oct-24
1469,HK6YS8UG6FSUTEH47PBFR0XVPOPUQD,Recycled Energy Electricity Generation Project by AMLSPL,PA,LARGE,1,ACM0004 2.0,EE own generation,Iron & steel heat,TÜV SÜD South Asia Private Limited (TÜV SÜD),23-01-07,13-12-07,10-03-08,09-05-08,09-05-08,End of crediting period,Registered,Fixed,14-04-09,13-04-19,"57,872",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,11,None,,,,,,,,,,,,,IN(340),2008m5,No,10-Oct-24
1472,MF0VJLP5AM0QJW74KHCGLTSZA6WTKT,"“Surplus power generation for grid” at Vayyuru, Andhra Pradesh",PA,LARGE,1,ACM0006 4.0,Biomass Energy,Bagasse power,SGS United Kingdom Limited (SGS),02-05-07,14-12-07,30-01-08,14-11-08,11-09-08,End of crediting period,Registered,Fixed,11-09-08,10-09-18,"16,217",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,5,Sales electricity,"4,537,107","94,372","530,863",14,9.9,14.8,,,,,,,IN(360),2024m10,No,10-Oct-24
1473,4L5ASVWYZ7YHJTD9EJJDWZLCXK49C6,"10 MW biomass based power generation project at Wani, Yavatmal by Shalivahana Projects Limited",PA,SMALL,1,AMS-I.D. 10.0,Biomass Energy,Agricultural residues: other kinds,TÜV SÜD South Asia Private Limited (TÜV SÜD),27-01-07,14-12-07,14-12-07,25-02-08,25-02-08,End of crediting period,Registered,Fixed,25-02-08,24-02-18,"47,823",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,11-04-11,19-03-13,"152,329",4,4,"152,329",, -   ,10,None,"9,881,899",,,,,,,,,,,,IN(318),2013m3,No,10-Oct-24
1492,OXC1JTTCGEFAU224EKM9QF8CQYUZ5X,"GEPL Biomass energy generation project at Faridabad, Haryana",PA,SMALL,1,AMS-I.C. 11.0,Biomass Energy,Agricultural residues: rice husk,SGS United Kingdom Limited (SGS),10-08-07,10-01-08,13-03-08,01-07-08,27-06-08,End of crediting period,Registered,Fixed,27-06-08,26-06-18,"52,981",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,21-12-11,10-04-12,"30,718",2,2,"30,718",, -   ,3,None,"3,700,000",,,,,,,,,,,,IN(354),2012m4,No,10-Oct-24
1495,LZZURR0FT2G4CO4C8KCGJE57F6JXXM,"Enhancing energy efficiency by replacing batch smelter by continuous smelter at Karaikal, Pondicherry",PA,SMALL,4,AMS-II.D. 8.0,EE Industry,Building materials,TÜV SÜD South Asia Private Limited (TÜV SÜD),05-04-07,07-01-08,07-02-08,27-06-08,05-06-08,End of crediting period,Registered,Fixed,05-06-08,04-06-18,"34,556",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,23-07-09,24-09-14,"71,166",4,4,"71,166",, -   ,,None,,,,,,,,,,,,,IN(347),2014m9,No,10-Oct-24
1497,M5SK1Y9LZWGLI0E22WY8ZP4P3S8POA,"Boiler Fuel Conversion from RFO to Biomass Based Briquettes at Fresenius Kabi India Private Limited, Ranjangaon (M.S.), India",PA,SMALL,1,AMS-I.C. 9.0,Biomass Energy,Biomass briquettes or pellets,Det Norske Veritas- CUK,22-03-07,09-01-08,31-03-08,02-05-08,01-05-08,End of crediting period,Registered,Fixed,01-05-08,30-04-18,"6,558",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,08-10-09,26-04-11,"12,727",2,2,"12,727",, -   ,,None,,,,,,,,,,,,,IN(337),2011m4,No,10-Oct-24
1512,GK7474CJ0N7ZCGLHFHG5UFFQ5AFORZ,"1.5 MW Deogad hydroelectric project in Maharashtra, district Sindhudurg, India by M/s Gadre Marine Export",PA,SMALL,1,AMS-I.D. 10.0,Hydro,Existing dam,Lloyd’s Register Quality Assurance Ltd. (LRQA)    ,06-03-07,15-01-08,15-02-08,31-03-08,30-03-08,End of crediting period,Registered,Fixed,25-06-10,24-06-20,"3,663",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,08-05-15,22-09-15,"9,114",2,2,"9,114",, -   ,1.5,Sales electricity,"1,776,549","105,527","431,594",17.03,15.36,16.78,,,,,,,IN(327),2019m8,No,10-Oct-24
1514,23JWTJVROF01LZ7QWH871KQXOHB9WM,"“3MW Iruttukanam Small Hydro Electric Project, Kerala, India” at Viyyat Power Private Limited in Taluka Devikulam, District Idukki, Kerala by  M/s Viyyat Power Private Limited.",PA,SMALL,1,AMS-I.D. 10.0,Hydro,Run of river,SGS United Kingdom Limited (SGS),04-05-07,17-01-08,17-01-08,25-03-08,21-03-08,End of crediting period,Registered,Fixed,18-09-10,17-09-20,"10,131",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,06-03-13,19-12-22,"115,500",4,3,"26,840",2,"88,660",3,Sales electricity,"3,695,599","132,470","786,698",15.84,14.28,16.24,,,,,,,IN(325),2022m12,No,10-Oct-24
1520,IFJCUP7SJ4ATANGM22NHUA64JU2888,Biogas and biomass based co-generation project at CDBL,PA,SMALL,1,AMS-I.D. 10.0,Methane avoidance,Manure,TÜV SÜD South Asia Private Limited (TÜV SÜD),21-02-07,15-01-08,15-01-08,07-04-08,07-04-08,End of crediting period,Registered,Fixed,07-04-08,06-04-18,"27,894",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,22-05-09,02-06-23,"193,802",6,5,"102,456",2,"91,346",8.25,None,,,,,,,,,,,,,IN(331),2023m6,No,10-Oct-24
1525,EPZ0M6BTH85K726337DNSK1HZ4HS1A,"GHG emission reductions through pre-heat train optimization in the CDU and VDU of Digboi Refinery,, Indian Oil Corporation Limited (Assam Oil Division)",PA,SMALL,4,AMS-II.D. 11.0,EE Industry,Petrochemicals,Det Norske Veritas- CUK,09-02-08,14-03-08,14-03-08,27-01-09,04-12-08,End of crediting period,Registered,Fixed,04-12-08,03-12-18,"2,693",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,03-01-14,03-01-14,"4,871",1,1,"4,871",, -   ,,None,"521,125","8,547",,12,10.01,15.34,,,,,,,IN(379),2014m1,No,10-Oct-24
1530,GZ228UWWHZXR87VD6THVVW2ZKL0O7Q,"8 MW biomass based renewable energy generation for the grid, Gondia District, Maharashtra,India",PA,SMALL,1,AMS-I.D. 10.0,Biomass Energy,Agricultural residues: rice husk,Det Norske Veritas- CUK,14-11-06,17-01-08,14-03-08,17-04-08,17-04-08,End of crediting period,Registered,Fixed,17-04-08,16-04-18,"28,268",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,8,Sales electricity,"6,330,063","2,295,570","2,982,600",15.01,11.32,16.03,Issuance Process,The verification contract has been terminated,05-01-15,,,,IN(335),2015m1,No,10-Oct-24
1540,6Z6Q3GJAPTV08EP37RAIS1JY2N16RH,"Generation of electricity from 3.2 MW capacity wind mills by Gujarat JHM at Bhambarwadi, Maharashtra",PA,SMALL,1,AMS-I.D. 10.0,Wind,Wind,RWTÜV GmbH,11-05-07,17-01-08,27-02-08,07-07-08,23-06-08,End of crediting period,Registered,Fixed,23-06-08,22-06-18,"5,082",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,13-01-11,24-05-13,"19,978",3,3,"19,978",, -   ,3.2,None,"3,586,207","100,230",,14,8.99,11.21,,,,,,,IN(353),2013m5,No,10-Oct-24
1541,MU247JVFGNV9TQDL5JNM4MIXWSKIMH,"10 MW Biomass Based Renewable Energy Generation for the Grid at Saradambika Power Plant Private Limited at Chandrapur District, Maharashtra",PA,SMALL,1,AMS-I.D. 10.0,Biomass Energy,Agricultural residues: rice husk,Det Norske Veritas- CUK,16-12-06,17-01-08,17-01-08,12-09-08,16-07-08,End of crediting period,Registered,Fixed,16-07-08,15-07-18,"35,348",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,27-12-12,27-12-12,"30,781",1,1,"30,781",, -   ,10,Sales electricity,"10,051,893","3,204,844","4,143,707",10.5,8.01,14.15,,,,,,,IN(356),2012m12,No,10-Oct-24
1542,V8DO1PG4DJUVTWMQR4JNC1C3I85YB9,"Generation of electricity from 9.6 MW capacity wind mills by Sun-n-Sand Hotels Pvt. Ltd. at Bhambarwadi, Maharashtra",PA,SMALL,1,AMS-I.D. 10.0,Wind,Wind,RWTÜV GmbH,11-05-07,17-01-08,15-02-08,23-06-08,17-06-08,End of crediting period,Registered,Fixed,17-06-08,16-06-18,"15,245",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,09-09-09,09-11-23,"137,714",7,6,"66,100",2,"71,614",9.6,Sales electricity,"10,689,655","225,333","1,933,218",14,9.92,11.65,,,,,,,IN(351),2023m11,No,10-Oct-24
1543,8OHU7860GJRQ5YZ3FUD7PCBM27DQLH,"Hot air generation using renewable biomass fuel for spray drying and vertical drying application at H.&R. Johnson (India) Limited, Dewas, Madhya Pradesh.",PA,SMALL,1,AMS-I.C. 9.0,Biomass Energy,Agricultural residues: other kinds,TÜV SÜD South Asia Private Limited (TÜV SÜD),06-04-07,17-01-08,17-01-08,20-03-08,20-03-08,End of crediting period,Registered,Fixed,20-03-08,19-03-18,"9,758",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,22-06-09,22-12-11,"23,640",3,3,"23,640",, -   ,,None,,,,,,,,,,,,,IN(324),2012m6,No,10-Oct-24
1548,UPLX7W78C40G6AZQ31B5DEVROKTP1L,"Empee Distilleries 10 MW Woody Biomass-Based Power Project, Tamil Nadu",PA,SMALL,1,AMS-I.D. 10.0,Biomass Energy,Forest residues: other,Det Norske Veritas- CUK,10-03-07,17-01-08,17-01-08,14-04-08,14-04-08,End of crediting period,Registered,Renewable,14-04-08,13-04-15,"27,567",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,10,Sales electricity,"9,820,784","3,379,885","4,403,718",15,9.3,16.23,,,,,,,IN(333),2008m4,Yes,10-Oct-24
1549,BV42CZ1SQWUES1R6M97D0TEWENDJNV,"9 MW Neria Hydroelectric project, Karnataka, India",PA,SMALL,1,AMS-I.D. 10.0,Hydro,Run of river,Det Norske Veritas- CUK,13-09-06,17-01-08,09-04-08,09-12-08,09-10-08,End of crediting period,Registered,Fixed,09-10-08,08-10-18,"18,633",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,26-07-12,22-12-22,"98,759",3,2,"55,284",1,"43,475",9,Sales electricity,"7,055,382","297,960","976,340",14.75,11.71,14.36,,,,,,,IN(363),2022m12,No,10-Oct-24
1550,KMBKBIC24FLD5GAC57VZPDLHV8GSM0,"Generation of electricity from 12.8 MW capacity wind mills by Avinash Bhosale group at Bhambarwadi, Maharashtra",PA,SMALL,1,AMS-I.D. 10.0,Wind,Wind,RWTÜV GmbH,11-05-07,17-01-08,18-02-08,25-03-08,22-03-08,End of crediting period,Registered,Fixed,22-03-08,21-03-18,"20,327",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,14-10-09,27-03-13,"84,973",5,5,"84,973",, -   ,12.8,Sales electricity,"13,971,668","294,505","2,529,324",14,9.19,10.75,,,,,,,IN(326),2013m3,No,10-Oct-24
1551,QG9WNPB7XB089IZREJ4OW2OR4C6QVO,Rice husk based Co generation project at Dujana unit of KRBL Limited,PA,SMALL,1,AMS-I.D. 10.0,Biomass Energy,Agricultural residues: rice husk,RWTÜV GmbH,13-04-07,17-01-08,17-01-08,27-06-08,26-05-08,End of crediting period,Registered,Fixed,26-05-08,25-05-18,"17,781",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,23-09-11,07-12-17,"112,910",6,3,"51,572",3,"61,338",3.5,None,"4,300,000",,,,,,,,,,,,IN(345),2017m12,No,10-Oct-24
